id;nombre;telefono;correo;mensaje;fecha_contacto
1;Borders Dollar innovative;synthesize Azul;orchestrate Taiwan;Berkshire auxiliary Pequeño;2023-02-04
2;Obligatorio;PNG Parafarmacia;PNG;núcleo política Música;2023-02-04
3;interactive extensible Implementación;de bricks-and-clicks;Bedfordshire B2B;Dollar;2023-02-04
4;Rústico USB;Buckinghamshire;Algodón;Senda marco overriding;2023-02-04
5;Técnico;Guam;Cine THX;indexing Coche;2023-02-05
6;sexy Hormigon;Asturias Account convergence;platforms;Genérico web;2023-02-05
7;array;Marroquinería Eritrea;Bedfordshire Teclado matrix;Madera Principado;2023-02-05
8;Granada Ensalada Mancha;application Increible;seize;quantifying deposit;2023-02-05
9;Castilla-La;Silla Account;data-warehouse;Berkshire;2023-02-05
10;Account Integrado Madera;Loan Guantes;Plástico Cambridgeshire AI;PCI innovate front-end;2023-02-05
