id;tematica;fecha;vp;autores;numero_identidad;observacion;aprobada;publico
1;Ejecutivo;2022-10-16;52174;necesidades;80475;../fake-data/blob/hipster.txt;true;true
2;Normas;2022-10-16;14768;recontextualize Toallas Won;43329;../fake-data/blob/hipster.txt;false;false
3;matrix aggregate interactive;2022-10-16;34965;Sopa integrate;75098;../fake-data/blob/hipster.txt;false;true
4;group Murcia;2022-10-16;64217;bandwidth monitor unleash;7344;../fake-data/blob/hipster.txt;false;false
5;Investment;2022-10-16;55348;recontextualize Chalet;54082;../fake-data/blob/hipster.txt;true;true
6;Marca;2022-10-16;4274;Director estrategia implement;71676;../fake-data/blob/hipster.txt;true;true
7;Metal;2022-10-15;70625;Dinar 1080p quantify;69044;../fake-data/blob/hipster.txt;false;true
8;intuitive;2022-10-16;22169;Usabilidad;88651;../fake-data/blob/hipster.txt;false;true
9;withdrawal wireless;2022-10-16;85721;navigate;82850;../fake-data/blob/hipster.txt;true;true
10;Parafarmacia;2022-10-16;84189;Acero;76764;../fake-data/blob/hipster.txt;false;false
